Film,Name,As time
EPISODE VI: RETURN OF THE JEDI,Nien Nunb,0.0625
EPISODE VII: THE FORCE AWAKENS,Nien Nunb,0.010416667
EPISODE I: THE PHANTOM MENACE,Sebulba,0.072916667
EPISODE VI: RETURN OF THE JEDI,Moff Jerjerrod,0.0625
EPISODE II: ATTACK OF THE CLONES,DormĚŠ,0.0625
EPISODE I: THE PHANTOM MENACE,Chancellor Valorum,0.0625
ROGUE ONE,Lyra Erso,0.0625
EPISODE V: THE EMPIRE STRIKES BACK,General Rieekan,0.0625
EPISODE V: THE EMPIRE STRIKES BACK,Captain Needa,0.0625
EPISODE III: REVENGE OF THE SITH,Commander Cody,0.052083333
ROGUE ONE,Admiral Raddus,0.052083333
EPISODE IV: A NEW HOPE,Biggs Darklighter,0.000694444
